Ngày,Đóng cửa,Điều chỉnh,Thay đổi,Khối lượng,Giá trị (tỷ VNĐ),Khối lượng,Giá trị (tỷ VNĐ),Mở cửa,Cao nhất,Thấp nhất
25/04/2023,1034.85,"1,034.85",-6.51(-0.63 %),"488,994,205","8,456.24","47,333,588",822.52,"1,045.79","1,045.79","1,032.49"
24/04/2023,1041.36,"1,041.36",-1.55(-0.15 %),"452,587,200","7,199.74","96,566,234","1,790.17","1,045.31","1,047.18","1,038.36"
21/04/2023,1042.91,"1,042.91",-6.34(-0.60 %),"512,429,096","8,838.18","33,327,840",649.4,"1,050.05","1,050.4","1,041.26"
20/04/2023,1049.25,"1,049.25",0.27(0.03 %),"332,580,000","5,636.53","39,328,769",931.86,"1,050.02","1,051.86","1,045.85"
19/04/2023,1048.98,"1,048.98",-6.04(-0.57 %),"496,274,699","8,609.42","67,539,025",989.19,"1,057.88","1,058.14","1,047.47"
18/04/2023,1055.02,"1,055.02",1.21(0.11 %),"494,431,200","8,462.26","40,779,735",941.86,"1,055.85","1,057.15","1,050.89"
17/04/2023,1053.81,"1,053.81",0.92(0.09 %),"406,565,600","6,714.6","45,419,670","1,227.1","1,053.15","1,054.72","1,049.11"
14/04/2023,1052.89,"1,052.89",-11.41(-1.07 %),"724,480,200","11,983.77","62,045,744","1,342.17","1,067.18","1,068.79","1,052.89"
13/04/2023,1064.3,"1,064.3",-5.15(-0.48 %),"595,747,688","10,048.06","77,294,018","1,389.01","1,070.87","1,070.88","1,062.26"
12/04/2023,1069.45,"1,069.45",-0.01(0.00 %),"660,871,916","11,237.91","65,291,633","1,415.31","1,071.66","1,072.7","1,066.43"
11/04/2023,1069.46,"1,069.46",4.11(0.39 %),"642,643,084","10,352.28","55,138,230","1,239.07","1,063.67","1,070.56","1,056.9"
10/04/2023,1065.35,"1,065.35",-4.36(-0.41 %),"789,212,128","13,080.33","68,247,447","1,975.78","1,073.9","1,075.54","1,063.45"
07/04/2023,1069.71,"1,069.71",-1.2(-0.11 %),"600,601,088","9,555.43","45,403,244","1,226.99","1,071.09","1,072.94","1,063.7"
06/04/2023,1070.91,"1,070.91",-9.95(-0.92 %),"955,334,562","14,836.04","43,422,827",953.64,"1,083.27","1,084.52","1,070.91"
05/04/2023,1080.86,"1,080.86",2.41(0.22 %),"706,897,680","11,435.91","86,848,464","1,430.42","1,079.06","1,080.86","1,074.1"
04/04/2023,1078.45,"1,078.45",-0.83(-0.08 %),"746,158,000","12,386.78","54,448,855","1,102.14","1,081.02","1,082.21","1,075.1"
03/04/2023,1079.28,"1,079.28",14.64(1.38 %),"778,917,800","12,983.24","42,393,440","1,190.81","1,074.2","1,079.28","1,071.62"
31/03/2023,1064.64,"1,064.64",5.2(0.49 %),"574,243,800","10,498.84","65,690,032","1,330.45","1,059.79","1,067.55","1,059.79"
30/03/2023,1059.44,"1,059.44",3.11(0.29 %),"555,220,667","9,656.12","78,755,074","1,386.64","1,061.32","1,066.23","1,058.89"
29/03/2023,1056.33,"1,056.33",2.04(0.19 %),"415,123,604","7,305.17","45,840,510",995.89,"1,055.18","1,056.33","1,048.26"
